id,lat,lon,type,source
2640584503,-6.3066404,106.9584018,tower,
2744092301,-6.3172849,106.9245467,communication,
4818368103,-6.1988163,106.9199753,communication,HOT_InAWARESurvey_2017
4832640573,-6.1940165,106.9224858,communication,HOT_InAWARESurvey_2017
4832640576,-6.1838622,106.9273964,communication,HOT_InAWARESurvey_2017
4841684279,-6.1788489,106.9485140,communication,HOT_InAWARESurvey_2017
4841684289,-6.1735406,106.9501034,communication,HOT_InAWARESurvey_2017
4841684297,-6.1892040,106.9464828,communication,HOT_InAWARESurvey_2017
4841684313,-6.1928432,106.9441795,communication,HOT_InAWARESurvey_2017
4845316869,-6.1711366,106.9501034,communication,HOT_InAWARESurvey_2017
4848692500,-6.1849928,106.9587708,communication,HOT_InAWARESurvey_2017
4848692502,-6.1696330,106.9648433,communication,HOT_InAWARESurvey_2017
4848692503,-6.1817287,106.9554880,communication,HOT_InAWARESurvey_2017
4848719292,-6.1695389,106.9657341,communication,HOT_InAWARESurvey_2017
4857771275,-6.1840115,106.9423556,communication,HOT_InAWARESurvey_2017
4857771280,-6.1876434,106.9423784,communication,HOT_InAWARESurvey_2017
4861469945,-6.1717877,106.9330645,communication,HOT_InAWARESurvey_2017
4863039254,-6.1658557,106.9344995,communication,HOT_InAWARESurvey_2017
4869713694,-6.1846088,106.9684696,communication,HOT_InAWARESurvey_2017
4869713695,-6.1855901,106.9681250,communication,HOT_InAWARESurvey_2017
4877095391,-6.1873981,106.9620270,communication,HOT_InAWARESurvey_2017
4877095392,-6.1880314,106.9674041,communication,HOT_InAWARESurvey_2017
4877834130,-6.1944238,106.9566733,communication,HOT_InAWARESurvey_2017
4877834135,-6.1949161,106.9584078,communication,HOT_InAWARESurvey_2017
4885754052,-6.2148152,106.9500804,communication,HOT_InAWARESurvey_2017
4885754073,-6.1988216,106.9423958,communication,HOT_InAWARESurvey_2017
4892485215,-6.2036301,106.9606629,communication,HOT_InAWARESurvey_2017
4892485499,-6.1968404,106.9633976,communication,HOT_InAWARESurvey_2017
4892485654,-6.2007604,106.9557671,communication,HOT_InAWARESurvey_2017
4892485665,-6.1997218,106.9526793,communication,HOT_InAWARESurvey_2017
4892485666,-6.2000921,106.9554212,communication,HOT_InAWARESurvey_2017
