id,lat,lon,type,source,region,source_tagged,is_hot_source,tower_code
10255685043,-6.2882986,107.0006789,communication,,Bekasi,False,False,TW00104
10255697987,-6.2955596,107.0014635,communication,,Bekasi,False,False,TW00105
11027492738,-6.2987596,106.9975452,communication,,Bekasi,False,False,TW00106
11235853566,-6.2745428,106.9902451,communication,,Bekasi,False,False,TW00107
11235853567,-6.275124,106.997011,communication,,Bekasi,False,False,TW00108
11235853568,-6.2742116,106.9960052,communication,,Bekasi,False,False,TW00109
11235853569,-6.260652,106.9955868,communication,,Bekasi,False,False,TW00110
11668744852,-6.3054622,107.0016426,communication,,Bekasi,False,False,TW00111
11847072538,-6.232804,107.1342261,communication,,Bekasi,False,False,TW00112
12179977267,-6.3501155,106.9877878,communication,,Bekasi,False,False,TW00113
12179977268,-6.3503223,106.9864762,communication,,Bekasi,False,False,TW00114
12776322039,-6.3822411,107.0786628,communication,,Bekasi,False,False,TW00115
12812047129,-6.3449855,107.139321,communication,,Bekasi,False,False,TW00116
12812047130,-6.3447936,107.1390232,communication,,Bekasi,False,False,TW00117
12812047131,-6.3450708,107.1391091,communication,,Bekasi,False,False,TW00118
12843415377,-6.3258197,107.1487466,communication,,Bekasi,False,False,TW00119
12843415378,-6.3259684,107.1489129,communication,,Bekasi,False,False,TW00120
12843415379,-6.3270343,107.1481647,communication,,Bekasi,False,False,TW00121
12843415380,-6.3269269,107.1479402,communication,,Bekasi,False,False,TW00122
12843415381,-6.3272409,107.1480317,communication,,Bekasi,False,False,TW00123
12843415382,-6.3269352,107.1485388,communication,,Bekasi,False,False,TW00124
12843415383,-6.3271335,107.1484972,communication,,Bekasi,False,False,TW00125
12843415384,-6.3271417,107.1483226,communication,,Bekasi,False,False,TW00126
